id,Dog,Adapts Well to Apartment Living,Amount Of Shedding,Dog Friendly,Drooling Potential,Easy To Groom,Easy To Train,Exercise Needs,Friendly Toward Strangers,General Health,Good For Novice Owners,Incredibly Kid Friendly Dogs,Intensity,Potential For Mouthiness,Prey Drive,Size,Tendency To Bark Or Howl,Tolerates Cold Weather,Wanderlust Potential
1,American Foxhound,1.5,3.5,5,1,4.5,2,5,3.5,5,1.5,4.5,3.5,3.5,4,2.5,5,3.5,5
2,American Foxhound,1,3.5,4.5,1.5,5,1.5,4.5,4.5,4.5,1.5,5,4.5,3,4.5,3.5,5,3.5,4.5
3,American Foxhound,1.5,3,5,0.5,4.5,2.5,5,4.5,5,2,4.5,3.5,3.5,3.5,2.5,4.5,4,4.5
4,American Foxhound,0.5,3.5,4.5,1,5,2.5,5,4,5,2.5,4.5,4,3.5,3.5,3,4.5,4.5,4.5
5,American Foxhound,1,3.5,5,1,4.5,2.5,5,3.5,4.5,1.5,4.5,3.5,3,4.5,3.5,4.5,3.5,5
6,American Foxhound,1,3.5,4.5,1.5,5,2.5,4.5,3.5,5,2,4.5,4.5,2.5,3.5,3,4.5,4.5,4.5
7,American Foxhound,1.5,2.5,5,1.5,5,1.5,5,3.5,4.5,1.5,5,4.5,3,4,3.5,4.5,4,5
8,American Foxhound,0.5,3.5,5,1,5,2.5,5,4.5,4.5,2,4.5,4.5,2.5,4.5,2.5,5,4.5,5
9,American Foxhound,1,3.5,4.5,0.5,4.5,1.5,5,4,5,2.5,5,3.5,3,4.5,2.5,5,4,5
10,American Foxhound,1,3,4.5,0.5,5,2.5,5,4.5,5,2,5,3.5,3.5,4.5,3.5,4.5,4.5,5
11,American Foxhound,1.5,3,5,1.5,5,2.5,5,4.5,5,2,5,4,3.5,4.5,3.5,5,4,5
12,American Foxhound,1.5,3.5,4.5,0.5,4.5,2,5,4.5,5,1.5,4.5,4.5,3.5,4,2.5,5,4.5,5
13,American Foxhound,1.5,3.5,5,0.5,5,2.5,5,4.5,5,2.5,4.5,4,3.5,4.5,2.5,4.5,4.5,5
14,American Foxhound,0.5,3.5,5,1.5,5,1.5,5,3.5,4.5,2.5,5,4.5,3,3.5,3,5,3.5,5
15,American Foxhound,1.5,3.5,5,0.5,5,1.5,5,4,5,1.5,5,4,3,4.5,2.5,4.5,4,4.5
16,American Foxhound,1,3.5,4.5,1,5,1.5,4.5,4.5,5,2,4.5,4,3.5,4,3.5,5,3.5,5
17,American Foxhound,0.5,3,5,1,4.5,1.5,4.5,3.5,4.5,2.5,4.5,4,3,4,2.5,5,3.5,4.5
18,American Foxhound,1.5,3,4.5,0.5,5,1.5,5,4.5,5,1.5,4.5,4,2.5,3.5,2.5,5,3.5,5
19,American Foxhound,1,3.5,5,1.5,5,2.5,5,4.5,5,2.5,5,4,3.5,4.5,2.5,5,4,5
20,American Foxhound,1,3.5,5,1,5,1.5,5,4.5,5,2.5,5,4.5,3,4.5,2.5,5,4.5,5
21,Bernedoodle,2.5,1,4,1.5,2.5,4.5,3.5,3.5,4.5,3.5,5,3.5,3.5,3.5,3.5,3.5,5,3.5
22,Bernedoodle,3.5,1.5,4,2.5,2.5,4.5,3,3.5,4,3.5,5,3.5,4.5,3.5,2.5,3,5,3
23,Bernedoodle,3,1.5,4.5,1.5,3,3.5,2.5,3.5,4,2.5,4.5,3,4.5,3.5,3,3,5,3.5
24,Bernedoodle,2.5,1.5,4,2,2.5,4,3.5,3,3.5,3.5,4.5,3.5,3.5,3.5,3,3.5,5,3
25,Bernedoodle,2.5,0.5,3.5,2.5,3.5,3.5,2.5,3,4.5,2.5,5,2.5,3.5,3.5,3.5,3.5,5,2.5
26,Bernedoodle,3.5,0.5,4,2.5,3,3.5,2.5,2.5,3.5,3,4.5,3,3.5,2.5,3,2.5,5,3
27,Bernedoodle,3,1.5,3.5,2.5,2.5,4,3.5,3.5,4.5,2.5,5,3,4,3.5,3,2.5,4.5,3
28,Bernedoodle,3,0.5,4.5,1.5,2.5,4,3.5,3.5,3.5,3.5,5,3.5,3.5,2.5,2.5,2.5,5,2.5
29,Bernedoodle,3.5,1,4,2,3,4.5,3.5,2.5,4,3,5,2.5,4.5,3.5,2.5,3,5,3
30,Bernedoodle,2.5,0.5,4.5,1.5,2.5,3.5,2.5,3.5,3.5,2.5,4.5,3,4,3.5,3.5,2.5,5,2.5
31,Bernedoodle,2.5,1,3.5,2.5,3.5,3.5,2.5,3,4,3,5,3.5,4,3.5,3.5,3,4.5,3.5
32,Bernedoodle,3,0.5,4.5,1.5,3.5,4,3,3.5,4.5,2.5,5,3,4.5,3.5,2.5,3.5,5,3.5
33,Bernedoodle,3,1,4.5,2.5,3,3.5,3,2.5,3.5,2.5,5,3.5,4.5,3,3,2.5,5,3
34,Bernedoodle,3,1,4,1.5,2.5,4.5,3,3.5,3.5,3.5,5,3,3.5,2.5,3,2.5,4.5,3
35,Bernedoodle,2.5,1.5,4,1.5,3.5,3.5,2.5,2.5,4,3.5,4.5,3.5,4.5,3,3.5,3.5,4.5,3
36,Bernedoodle,2.5,1.5,4.5,1.5,3,3.5,3.5,3.5,4.5,3.5,5,2.5,4,2.5,3.5,3,4.5,3.5
37,Bernedoodle,3.5,0.5,4,1.5,3.5,3.5,2.5,2.5,4.5,3,5,2.5,4.5,3,3.5,3.5,5,3
38,Bernedoodle,2.5,1,4.5,1.5,2.5,3.5,3,3.5,4,3.5,5,3.5,4.5,3,3.5,2.5,5,3.5
39,Bernedoodle,3,1.5,4,2.5,3.5,4,3.5,3,4.5,3,4.5,3.5,3.5,3.5,3,3,5,2.5
40,Bernedoodle,3.5,1,4.5,1.5,3,4,2.5,3,4.5,3.5,5,3.5,4.5,2.5,3.5,3.5,4.5,3
41,Cavalier King Charles Spaniel,5,2.5,4.5,1.5,4,3.5,4,4.5,4,4.5,4.5,2.5,3.5,3.5,2,3,2.5,2.5
42,Cavalier King Charles Spaniel,5,2.5,5,1,3.5,4,4.5,4.5,4,5,5,2.5,3.5,2.5,2.5,3.5,2.5,1.5
43,Cavalier King Charles Spaniel,5,2.5,5,1.5,4,4.5,4,5,4,5,5,2.5,2.5,3.5,2,3,2.5,2
44,Cavalier King Charles Spaniel,5,3.5,5,0.5,4,4,4,4.5,4,4.5,5,2,3.5,3.5,1.5,2.5,3.5,2.5
45,Cavalier King Charles Spaniel,5,2.5,5,1,3.5,4.5,4.5,5,3.5,5,4.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
46,Cavalier King Charles Spaniel,5,3.5,5,0.5,3.5,4,4,5,4,5,5,2.5,3.5,2.5,2,2.5,2.5,2
47,Cavalier King Charles Spaniel,4.5,2.5,4.5,1,4.5,3.5,4.5,4.5,4.5,4.5,5,2,2.5,3,2,2.5,3.5,2
48,Cavalier King Charles Spaniel,4.5,2.5,4.5,1,4,4,4,5,3.5,4.5,4.5,1.5,2.5,2.5,2.5,2.5,3,2
49,Cavalier King Charles Spaniel,5,3,5,1,3.5,4,4.5,5,4,5,4.5,2,2.5,3,2.5,3.5,3,1.5
50,Cavalier King Charles Spaniel,5,2.5,5,1,4.5,4.5,4.5,5,4.5,5,4.5,2,3.5,3.5,2.5,2.5,3,2
51,Cavalier King Charles Spaniel,5,2.5,4.5,0.5,4.5,4.5,3.5,5,4,5,5,1.5,3.5,2.5,2.5,3,3.5,2.5
52,Cavalier King Charles Spaniel,5,3.5,5,1,4.5,4.5,3.5,4.5,4,5,5,2,2.5,3,1.5,3,2.5,1.5
53,Cavalier King Charles Spaniel,5,3.5,5,1,4,3.5,4.5,4.5,4.5,4.5,5,1.5,3.5,3.5,1.5,2.5,3,2.5
54,Cavalier King Charles Spaniel,5,3,5,0.5,3.5,3.5,3.5,5,4,4.5,5,1.5,3.5,3,2,3,3.5,2
55,Cavalier King Charles Spaniel,5,3,5,1.5,3.5,4.5,3.5,5,4,5,4.5,1.5,3.5,2.5,2.5,2.5,2.5,2.5
56,Cavalier King Charles Spaniel,4.5,3.5,5,1.5,4,4,4,5,3.5,5,5,1.5,3,3,1.5,2.5,2.5,2
57,Cavalier King Charles Spaniel,5,2.5,4.5,1.5,3.5,4,4,5,3.5,5,4.5,2,2.5,3,1.5,3,2.5,2
58,Cavalier King Charles Spaniel,5,3,5,0.5,3.5,4.5,3.5,5,4,5,5,1.5,2.5,2.5,2.5,2.5,3.5,2.5
59,Cavalier King Charles Spaniel,5,2.5,5,0.5,4,4.5,4,5,3.5,5,5,1.5,2.5,2.5,2.5,2.5,2.5,2.5
60,Cavalier King Charles Spaniel,5,3,5,0.5,4.5,4.5,4.5,5,4.5,4.5,5,2.5,2.5,3,2.5,3,2.5,2
61,Shih Tzu,5,3,3.5,1.5,1,3.5,2,4.5,3,5,3.5,3.5,4,4.5,0.5,2,2.5,2
62,Shih Tzu,5,2.5,4.5,1,1,3.5,2.5,5,3.5,5,4,3.5,3.5,4,1.5,2.5,3,1.5
63,Shih Tzu,4.5,3.5,4.5,0.5,1,3.5,2,5,2.5,5,3.5,2.5,3.5,4,1,1.5,3,1.5
64,Shih Tzu,5,3,4.5,0.5,1.5,2.5,2.5,5,3,5,3.5,2.5,4.5,4,0.5,2,3.5,1.5
65,Shih Tzu,5,3.5,4.5,1.5,0.5,3.5,2.5,4.5,2.5,4.5,3.5,3.5,4.5,4.5,1,2.5,2.5,2.5
66,Shih Tzu,4.5,2.5,3.5,1.5,1.5,3,1.5,4.5,3.5,5,4,3.5,4.5,3.5,1.5,1.5,3.5,1.5
67,Shih Tzu,5,3.5,4,0.5,1.5,3,2.5,5,3,5,4,3.5,4.5,3.5,1,2.5,2.5,2
68,Shih Tzu,5,2.5,4,1.5,1.5,3.5,2.5,5,2.5,5,4.5,2.5,4.5,4.5,1.5,2.5,2.5,2
69,Shih Tzu,5,3,4.5,0.5,1,3.5,2,5,3.5,5,3.5,3,4.5,4.5,1,2.5,3.5,2.5
70,Shih Tzu,5,3.5,4,0.5,1,2.5,2,5,3.5,5,4.5,3,4.5,3.5,1,2,3,2
71,Shih Tzu,5,3.5,4,0.5,0.5,3,1.5,4.5,2.5,5,3.5,2.5,4.5,4,1,2,3.5,1.5
72,Shih Tzu,5,2.5,4.5,0.5,0.5,3,1.5,5,3,5,3.5,2.5,3.5,4,1.5,1.5,3.5,1.5
73,Shih Tzu,5,3,4,1,1.5,2.5,2.5,5,3,5,4.5,3.5,4.5,4,0.5,2,3.5,1.5
74,Shih Tzu,4.5,2.5,4.5,0.5,0.5,3,2.5,5,2.5,4.5,4.5,3,4,4,1,2,2.5,1.5
75,Shih Tzu,4.5,2.5,3.5,0.5,0.5,2.5,1.5,4.5,3.5,5,3.5,2.5,3.5,4.5,0.5,1.5,3,2.5
76,Shih Tzu,5,3.5,4,1,1.5,3,1.5,4.5,3,4.5,4.5,3,4,4,0.5,2,3.5,2
77,Shih Tzu,5,3.5,4.5,0.5,1,2.5,2.5,5,3.5,5,4.5,2.5,3.5,4,1.5,2,3,2
78,Shih Tzu,5,3.5,4,0.5,0.5,2.5,1.5,5,3,4.5,3.5,3.5,3.5,4.5,0.5,1.5,2.5,2.5
79,Shih Tzu,5,3,4,0.5,0.5,2.5,2.5,4.5,3,4.5,3.5,3.5,3.5,4,1.5,1.5,3.5,2
80,Shih Tzu,5,3,4,1,1.5,3,2,4.5,3.5,4.5,4,3,4.5,4,1,2,3,1.5
81,American Bulldog,1.5,1.5,2,3.5,3.5,4,4.5,2,3,1.5,3.5,3.5,2,4.5,3.5,1.5,2,3.5
82,American Bulldog,0.5,0.5,1.5,4.5,3.5,4.5,4,1.5,3.5,1,3.5,4.5,2.5,3.5,3.5,1.5,1.5,3.5
83,American Bulldog,0.5,1.5,2.5,4,4.5,4.5,4,2,2.5,1,4.5,4,2.5,3.5,4.5,1.5,2.5,3
84,American Bulldog,0.5,1.5,2,4,4.5,4,4.5,1.5,3,1,4,4.5,2.5,4.5,4.5,1.5,1.5,2.5
85,American Bulldog,0.5,1.5,1.5,4.5,3.5,3.5,3.5,2,3,1,4.5,4.5,2.5,4,4,2,2.5,3.5
86,American Bulldog,1.5,0.5,2.5,4.5,4.5,4.5,4.5,1.5,3,0.5,3.5,4.5,2.5,4.5,4.5,2,2,2.5
87,American Bulldog,1,0.5,2,4,3.5,4.5,4.5,2,3,0.5,4.5,3.5,2.5,3.5,4,2,2,3
88,American Bulldog,1.5,0.5,1.5,4,3.5,3.5,4.5,1.5,3.5,1.5,4.5,4,1.5,3.5,4,2.5,2.5,3
89,American Bulldog,0.5,1.5,2.5,4.5,4,4,3.5,1.5,3,0.5,3.5,4.5,1.5,3.5,4.5,1.5,2,2.5
90,American Bulldog,1,1.5,2,3.5,4.5,4,3.5,2.5,3,1.5,4,4.5,2,3.5,4,2.5,1.5,3
91,American Bulldog,1.5,0.5,2,4.5,4.5,4,3.5,1.5,3.5,0.5,4,4.5,2.5,3.5,4.5,2,2.5,2.5
92,American Bulldog,1,1.5,2,4.5,4.5,3.5,3.5,2,2.5,0.5,4.5,3.5,2,3.5,4.5,2,1.5,3.5
93,American Bulldog,1.5,0.5,1.5,4,3.5,3.5,4,1.5,3.5,1.5,4,4,1.5,3.5,3.5,1.5,2.5,2.5
94,American Bulldog,1.5,0.5,2.5,3.5,4.5,4,3.5,2,3,0.5,4.5,4,2.5,4,4,2.5,2,3.5
95,American Bulldog,0.5,0.5,1.5,4,4,4.5,3.5,2.5,2.5,1,4,4,2,3.5,4,1.5,2,3.5
96,American Bulldog,1.5,1.5,2.5,4,3.5,4,3.5,2.5,3.5,1,4.5,4,2.5,3.5,4,1.5,1.5,3.5
97,American Bulldog,0.5,1.5,1.5,3.5,4,4.5,3.5,2,3.5,1,4.5,4.5,1.5,4,4,2.5,1.5,3
98,American Bulldog,1.5,0.5,2,4.5,4.5,4,4,2,3.5,1.5,4,4,2.5,3.5,3.5,2.5,1.5,2.5
99,American Bulldog,1,1.5,2.5,3.5,4,4,3.5,2.5,2.5,1.5,4,4,2.5,3.5,4,1.5,2.5,3.5
100,American Bulldog,1.5,0.5,2.5,4.5,4,3.5,3.5,1.5,3.5,1.5,4,3.5,1.5,4.5,4,2.5,2.5,2.5
