,id,Dog,Adapts Well to Apartment Living,Drooling Potential,Easy To Groom,Easy To Train,Exercise Needs,Friendly Toward Strangers,General Health,Good For Novice Owners,Prey Drive,Size,Tendency To Bark Or Howl,Tolerates Cold Weather,Wanderlust Potential,
0,1,American Foxhound,1.5,1.0,4.5,2.0,5.0,3.5,5.0,1.5,4.0,2.5,5.0,3.5,5.0,
1,2,American Foxhound,1.0,1.5,5.0,1.5,4.5,4.5,4.5,1.5,4.5,3.5,5.0,3.5,4.5,
2,3,American Foxhound,1.5,0.5,4.5,2.5,5.0,4.5,5.0,2.0,3.5,2.5,4.5,4.0,4.5,
3,4,American Foxhound,0.5,1.0,5.0,2.5,5.0,4.0,5.0,2.5,3.5,3.0,4.5,4.5,4.5,
4,5,American Foxhound,1.0,1.0,4.5,2.5,5.0,3.5,4.5,1.5,4.5,3.5,4.5,3.5,5.0,
5,6,American Foxhound,1.0,1.5,5.0,2.5,4.5,3.5,5.0,2.0,3.5,3.0,4.5,4.5,4.5,
6,7,American Foxhound,1.5,1.5,5.0,1.5,5.0,3.5,4.5,1.5,4.0,3.5,4.5,4.0,5.0,
7,8,American Foxhound,0.5,1.0,5.0,2.5,5.0,4.5,4.5,2.0,4.5,2.5,5.0,4.5,5.0,
8,9,American Foxhound,1.0,0.5,4.5,1.5,5.0,4.0,5.0,2.5,4.5,2.5,5.0,4.0,5.0,
9,10,American Foxhound,1.0,0.5,5.0,2.5,5.0,4.5,5.0,2.0,4.5,3.5,4.5,4.5,5.0,
10,21,Bernedoodle,2.5,1.5,2.5,4.5,3.5,3.5,4.5,3.5,3.5,3.5,3.5,5.0,3.5,
11,22,Bernedoodle,3.5,2.5,2.5,4.5,3.0,3.5,4.0,3.5,3.5,2.5,3.0,5.0,3.0,
12,23,Bernedoodle,3.0,1.5,3.0,3.5,2.5,3.5,4.0,2.5,3.5,3.0,3.0,5.0,3.5,
13,24,Bernedoodle,2.5,2.0,2.5,4.0,3.5,3.0,3.5,3.5,3.5,3.0,3.5,5.0,3.0,
14,25,Bernedoodle,2.5,2.5,3.5,3.5,2.5,3.0,4.5,2.5,3.5,3.5,3.5,5.0,2.5,
15,26,Bernedoodle,3.5,2.5,3.0,3.5,2.5,2.5,3.5,3.0,2.5,3.0,2.5,5.0,3.0,
16,27,Bernedoodle,3.0,2.5,2.5,4.0,3.5,3.5,4.5,2.5,3.5,3.0,2.5,4.5,3.0,
17,28,Bernedoodle,3.0,1.5,2.5,4.0,3.5,3.5,3.5,3.5,2.5,2.5,2.5,5.0,2.5,
18,29,Bernedoodle,3.5,2.0,3.0,4.5,3.5,2.5,4.0,3.0,3.5,2.5,3.0,5.0,3.0,
19,30,Bernedoodle,2.5,1.5,2.5,3.5,2.5,3.5,3.5,2.5,3.5,3.5,2.5,5.0,2.5,
20,41,Cavalier King Charles Spaniel,5.0,1.5,4.0,3.5,4.0,4.5,4.0,4.5,3.5,2.0,3.0,2.5,2.5,
21,42,Cavalier King Charles Spaniel,5.0,1.0,3.5,4.0,4.5,4.5,4.0,5.0,2.5,2.5,3.5,2.5,1.5,
22,43,Cavalier King Charles Spaniel,5.0,1.5,4.0,4.5,4.0,5.0,4.0,5.0,3.5,2.0,3.0,2.5,2.0,
23,44,Cavalier King Charles Spaniel,5.0,0.5,4.0,4.0,4.0,4.5,4.0,4.5,3.5,1.5,2.5,3.5,2.5,
24,45,Cavalier King Charles Spaniel,5.0,1.0,3.5,4.5,4.5,5.0,3.5,5.0,2.5,2.5,2.5,2.5,2.5,
25,46,Cavalier King Charles Spaniel,5.0,0.5,3.5,4.0,4.0,5.0,4.0,5.0,2.5,2.0,2.5,2.5,2.0,
26,47,Cavalier King Charles Spaniel,4.5,1.0,4.5,3.5,4.5,4.5,4.5,4.5,3.0,2.0,2.5,3.5,2.0,
27,48,Cavalier King Charles Spaniel,4.5,1.0,4.0,4.0,4.0,5.0,3.5,4.5,2.5,2.5,2.5,3.0,2.0,
28,49,Cavalier King Charles Spaniel,5.0,1.0,3.5,4.0,4.5,5.0,4.0,5.0,3.0,2.5,3.5,3.0,1.5,
29,50,Cavalier King Charles Spaniel,5.0,1.0,4.5,4.5,4.5,5.0,4.5,5.0,3.5,2.5,2.5,3.0,2.0,
30,61,Shih Tzu,5.0,1.5,1.0,3.5,2.0,4.5,3.0,5.0,4.5,0.5,2.0,2.5,2.0,
31,62,Shih Tzu,5.0,1.0,1.0,3.5,2.5,5.0,3.5,5.0,4.0,1.5,2.5,3.0,1.5,
32,63,Shih Tzu,4.5,0.5,1.0,3.5,2.0,5.0,2.5,5.0,4.0,1.0,1.5,3.0,1.5,
33,64,Shih Tzu,5.0,0.5,1.5,2.5,2.5,5.0,3.0,5.0,4.0,0.5,2.0,3.5,1.5,
34,65,Shih Tzu,5.0,1.5,0.5,3.5,2.5,4.5,2.5,4.5,4.5,1.0,2.5,2.5,2.5,
35,66,Shih Tzu,4.5,1.5,1.5,3.0,1.5,4.5,3.5,5.0,3.5,1.5,1.5,3.5,1.5,
36,67,Shih Tzu,5.0,0.5,1.5,3.0,2.5,5.0,3.0,5.0,3.5,1.0,2.5,2.5,2.0,
37,68,Shih Tzu,5.0,1.5,1.5,3.5,2.5,5.0,2.5,5.0,4.5,1.5,2.5,2.5,2.0,
38,69,Shih Tzu,5.0,0.5,1.0,3.5,2.0,5.0,3.5,5.0,4.5,1.0,2.5,3.5,2.5,
39,70,Shih Tzu,5.0,0.5,1.0,2.5,2.0,5.0,3.5,5.0,3.5,1.0,2.0,3.0,2.0,
40,81,American Bulldog,1.5,3.5,3.5,4.0,4.5,2.0,3.0,1.5,4.5,3.5,1.5,2.0,3.5,
41,82,American Bulldog,0.5,4.5,3.5,4.5,4.0,1.5,3.5,1.0,3.5,3.5,1.5,1.5,3.5,
42,83,American Bulldog,0.5,4.0,4.5,4.5,4.0,2.0,2.5,1.0,3.5,4.5,1.5,2.5,3.0,
43,84,American Bulldog,0.5,4.0,4.5,4.0,4.5,1.5,3.0,1.0,4.5,4.5,1.5,1.5,2.5,
44,85,American Bulldog,0.5,4.5,3.5,3.5,3.5,2.0,3.0,1.0,4.0,4.0,2.0,2.5,3.5,
45,86,American Bulldog,1.5,4.5,4.5,4.5,4.5,1.5,3.0,0.5,4.5,4.5,2.0,2.0,2.5,
46,87,American Bulldog,1.0,4.0,3.5,4.5,4.5,2.0,3.0,0.5,3.5,4.0,2.0,2.0,3.0,
47,88,American Bulldog,1.5,4.0,3.5,3.5,4.5,1.5,3.5,1.5,3.5,4.0,2.5,2.5,3.0,
48,89,American Bulldog,0.5,4.5,4.0,4.0,3.5,1.5,3.0,0.5,3.5,4.5,1.5,2.0,2.5,
49,90,American Bulldog,1.0,3.5,4.5,4.0,3.5,2.5,3.0,1.5,3.5,4.0,2.5,1.5,3.0,
